"customer_id","total_orders","total_spent","avg_item_revenue"
"18102","145","580987.04","558.641385"
"14646","151","528602.52","137.335027"
"14156","156","313437.62","77.621996"
"14911","398","291420.81","26.308640"
"17450","51","244784.25","582.819643"
"13694","143","195640.69","128.795714"
"17511","60","172132.87","92.148217"
"16446","2","168472.50","56157.500000"
"16684","55","147142.77","204.934220"
"12415","28","144458.37","156.002559"
"15061","127","126389.02","140.745011"
"16029","107","117763.62","318.280054"
"17949","118","117314.08","752.013333"
"15311","208","114966.42","26.699122"
"13089","203","113416.91","34.213246"
"12931","57","92347.34","423.611651"
"14298","82","91194.49","31.841652"
"15769","46","88612.52","397.365561"
"12346","12","77556.46","2281.072353"
"13798","110","75428.87","104.617018"
"15838","34","73205.50","355.366505"
"17841","211","68545.25","5.512284"
"16754","29","65500.07","467.857643"
"14096","17","65164.79","12.749910"
"14088","16","64036.80","93.895601"
"16422","109","61920.87","88.711848"
"17389","61","57215.33","133.369068"
"13081","28","56838.37","24.929110"
"16013","84","56078.44","259.622407"
"14680","58","55688.50","43.711538"
"13093","55","54144.25","52.212392"
"12748","336","53539.64","8.130545"
"17850","155","51208.87","20.491745"
"13408","106","50174.78","60.891723"
"13777","61","49638.26","139.433315"
"17404","23","47781.12","163.633973"
"13881","43","45179.10","98.860175"
"15749","3","44534.30","4453.430000"
"16705","42","43515.05","63.065290"
"12471","79","39918.19","35.170211"
"15098","3","39916.50","13305.500000"
"15039","93","39141.48","14.523740"
"14031","44","39019.51","52.026013"
"17675","70","37642.48","33.729821"
"17381","38","36398.65","223.304601"
"12921","74","35233.24","23.504496"
"17677","54","35058.46","51.180234"
"12678","21","34281.18","91.173351"
"13902","5","34095.26","541.194603"
"13767","73","33903.57","44.376401"
"16210","35","33750.97","131.839727"
"16779","53","32809.03","31.547144"
"15856","52","32275.95","29.288521"
"14258","25","32051.34","106.837800"
"17428","45","31466.76","43.703833"
"17940","16","30306.79","865.908286"
"12709","34","30291.76","61.819918"
"14606","192","29951.37","4.710075"
"12681","45","29834.76","20.951376"
"13078","57","29018.06","36.685284"
"13098","28","28882.44","50.493776"
"17857","24","27347.04","488.340000"
"14527","122","27246.88","10.324699"
"16333","22","26626.80","591.706667"
"15513","35","26437.05","48.330987"
"17865","46","26312.19","26.051673"
"18251","9","26278.86","243.322778"
"13802","19","26259.11","58.614085"
"12731","17","25775.71","65.587048"
"14062","24","25585.65","75.251912"
"12744","11","25317.06","74.681593"
"12939","20","25264.80","293.776744"
"14895","38","25119.54","27.910600"
"15498","44","24972.86","26.538640"
"12621","35","24311.20","32.157672"
"16525","48","24151.30","68.417280"
"13001","33","24042.65","23.687340"
"14607","22","23763.13","117.059754"
"12482","29","23691.40","116.134314"
"17920","54","23581.78","14.379134"
"15640","29","23494.31","31.409505"
"12409","7","23419.29","88.709432"
"16133","56","22992.26","42.265184"
"12682","52","22950.22","23.205480"
"14063","9","22710.20","567.755000"
"12540","33","22254.49","28.864449"
"15159","34","22116.73","27.304605"
"13340","12","22100.56","102.793302"
"14051","37","21770.98","68.462201"
"16839","44","21758.25","62.166429"
"12753","6","21429.39","108.778629"
"15615","47","21373.97","23.722497"
"13319","58","21323.22","23.102080"
"14866","19","20746.54","152.548088"
"14667","54","20395.34","16.059323"
"15251","21","20324.54","88.367565"
"12477","9","20276.37","35.951011"
"17706","31","20272.15","27.506309"
"17243","69","20203.58","18.829059"
"18008","23","19759.08","203.701856"
"17340","18","19617.95","28.935029"
"16843","35","19571.43","32.837970"
"17139","25","19566.76","24.216287"
"14194","36","18670.59","19.611964"
"12357","3","18287.66","61.782635"
"13113","37","18230.07","48.355623"
"12557","8","18096.14","341.436604"
"16746","42","18046.75","18.358850"
"17581","43","17951.17","22.134612"
"12901","28","17654.54","152.194310"
"17377","78","17644.27","10.306232"
"14952","32","17629.35","57.424593"
"16652","16","17550.39","63.819600"
"15189","46","17524.38","72.715270"
"18172","52","17467.24","36.773137"
"16019","27","17329.16","43.000397"
"17416","22","17298.45","28.975628"
"15078","53","17286.73","22.421180"
"15523","16","17259.19","81.411274"
"13027","19","17239.20","202.814118"
"14277","9","17197.61","45.376280"
"15808","21","17180.25","22.254210"
"15125","24","17024.87","70.936958"
"12647","36","16955.55","32.923398"
"16656","30","16833.17","119.384184"
"12433","10","16794.14","30.043184"
"17735","26","16790.33","19.210904"
"12454","5","16679.78","416.994500"
"16553","33","16584.01","56.794555"
"13564","37","16498.97","13.749142"
"15358","42","16425.86","15.083434"
"14961","22","16410.15","24.492761"
"13225","16","16260.07","130.080560"
"16180","13","16249.87","49.693792"
"12472","19","16249.29","19.321391"
"12980","21","16245.78","312.418846"
"17107","10","16052.72","23.959284"
"15044","35","16024.15","17.884096"
"13199","67","15964.21","78.641429"
"17716","24","15956.97","26.550699"
"12971","116","15704.60","38.586241"
"16191","24","15677.82","67.576810"
"12949","22","15526.70","21.715664"
"14769","17","15514.11","11.097361"
"14849","43","15407.61","20.877520"
"15768","34","15308.89","12.672922"
"18087","17","14761.52","167.744545"
"18092","18","14693.72","104.955143"
"16126","15","14644.60","38.437270"
"17133","12","14622.33","261.113036"
"16873","12","14617.39","28.549590"
"14543","39","14587.87","68.810708"
"17448","46","14523.67","13.025713"
"15482","19","14417.36","97.414595"
"14733","15","14335.15","44.937774"
"13488","23","14205.96","20.921885"
"15601","30","14191.74","17.222985"
"16713","32","14115.56","11.149731"
"12714","12","14093.71","20.249583"
"12476","23","14083.91","27.400603"
"14299","27","14070.25","42.000746"
"13178","21","14059.19","20.464614"
"18223","26","14000.85","24.307031"
"12435","6","13925.93","124.338661"
"15760","2","13916.34","6958.170000"
"17589","18","13837.94","10.628218"
"15005","56","13754.58","5.762287"
"15382","12","13733.55","21.730301"
"15093","23","13702.38","43.361962"
"12583","27","13591.58","30.474395"
"12989","33","13551.75","139.708763"
"15291","40","13517.76","55.400656"
"13629","19","13370.86","153.688046"
"13097","28","13324.10","13.271016"
"16558","38","13304.11","17.668141"
"16923","32","13157.13","12.148781"
"13090","24","13091.74","47.780073"
"15738","41","13043.32","27.060830"
"14049","13","13023.40","12.274647"
"18225","26","13014.80","22.753147"
"15502","14","13003.87","39.405667"
"14110","33","12987.95","32.551253"
"13969","35","12973.46","12.193102"
"13668","35","12948.48","17.127619"
"13316","10","12940.82","74.802428"
"13952","14","12823.52","31.430196"
"13468","72","12793.28","18.460722"
"16549","34","12781.80","4.132493"
"12437","39","12683.40","22.528242"
"12451","8","12669.88","24.794286"
"12536","3","12601.83","48.282874"
"16161","43","12580.06","11.093527"
"17017","29","12576.99","33.272460"
"14040","35","12523.81","16.035608"
"17858","30","12518.65","33.562064"
"14936","12","12410.81","23.549924"
"16000","3","12393.70","1377.077778"
"12474","31","12372.75","17.475636"
"14735","56","12240.16","33.443060"
"12481","15","12185.51","32.067132"
"15144","29","12160.31","34.843295"
"15465","32","12100.40","47.452549"
"15194","28","12021.53","25.255315"
"13050","35","11986.52","12.181423"
"14415","23","11980.09","9.708339"
"17364","28","11972.92","13.244381"
"17044","12","11962.30","80.283893"
"13458","16","11959.27","24.658289"
"13854","39","11944.56","67.104270"
"16258","15","11942.52","34.716628"
"16814","36","11924.85","15.547392"
"16523","28","11916.33","32.119488"
"17338","17","11889.33","9.110598"
"13687","1","11880.84","264.018667"
"14505","19","11879.08","7.542273"
"18226","26","11878.88","22.497879"
"12567","15","11767.48","21.164532"
"12705","14","11762.10","19.636227"
"14426","17","11727.94","19.417119"
"13004","36","11650.85","14.295521"
"12683","21","11633.70","23.888501"
"15023","20","11578.65","12.086273"
"14739","25","11573.62","47.432869"
"13418","31","11559.66","21.526369"
"15218","22","11468.83","28.961692"
"13680","12","11419.67","17.677508"
"14016","11","11403.41","25.454040"
"12668","10","11383.03","21.236996"
"13102","37","11380.10","23.659252"
"15874","21","11284.76","32.996374"
"15555","36","11243.91","7.067197"
"12539","7","11214.75","22.251488"
"13576","28","11202.59","41.800709"
"12524","17","11126.11","46.358792"
"14134","15","11123.35","61.796389"
"13013","29","11097.43","22.787331"
"15032","8","11010.05","115.895263"
"14045","16","10986.63","296.935946"
"12918","1","10953.50","10953.500000"
"16985","23","10923.16","44.951276"
"18052","1","10877.18","679.823750"
"16033","27","10608.81","7.806336"
"13324","18","10513.47","79.647500"
"15290","26","10496.28","35.946164"
"12431","27","10432.22","26.749282"
"14028","3","10396.50","1155.166667"
"16168","66","10360.67","33.858399"
"16984","9","10350.53","9.655345"
"15296","12","10323.03","19.331517"
"14422","19","10271.52","18.607826"
"17160","17","10209.16","15.682273"
"15719","31","10195.97","5.760435"
"14796","27","10169.33","6.811340"
"16327","16","10159.64","11.584538"
"18229","28","10150.51","50.500050"
"15805","30","10148.93","19.185123"
"18055","14","10142.64","19.029343"
"17809","20","10085.89","103.978247"
"15547","26","10057.05","7.550338"
"13941","15","10027.18","106.672128"
"13985","22","10020.86","20.876792"
"15694","24","9978.48","69.779580"
"14755","25","9972.55","20.994842"
"16182","9","9971.65","195.522549"
"14101","13","9961.93","110.688111"
"16131","12","9957.42","45.467671"
"18260","23","9947.26","24.261610"
"17049","19","9942.53","17.818154"
"16701","26","9916.73","36.060836"
"12758","7","9903.24","31.639744"
"14329","15","9887.62","17.912355"
"12590","2","9864.26","145.062647"
"14828","13","9839.46","97.420396"
"12490","21","9823.64","21.263290"
"13599","33","9811.04","25.028163"
"16353","38","9795.46","56.621156"
"14944","19","9784.67","32.292640"
"17306","21","9782.35","135.865972"
"13018","35","9763.16","16.190978"
"13735","13","9762.77","15.089289"
"14085","33","9720.67","9.302077"
"12380","11","9676.30","34.932491"
"12839","26","9669.12","17.453285"
"16782","38","9636.12","5.725561"
"17315","43","9599.58","12.850843"
"18109","38","9555.71","14.611177"
"14091","2","9530.08","733.083077"
"17811","47","9519.80","8.263715"
"13999","29","9502.26","20.391116"
"17504","18","9490.17","27.749035"
"14146","12","9450.30","20.724342"
"14439","5","9443.04","73.201860"
"13267","36","9429.81","22.943577"
"17230","18","9388.49","43.264931"
"15727","15","9371.71","13.681328"
"15981","21","9362.77","32.509618"
"13069","38","9284.45","8.944557"
"13162","16","9275.49","38.972647"
"15249","18","9266.00","18.458167"
"14367","16","9227.82","17.711747"
"14292","16","9226.25","47.804404"
"13327","20","9134.48","28.456324"
"17757","56","9074.05","7.218815"
"15298","23","9061.77","21.321812"
"15939","16","9060.39","56.275714"
"16709","14","9056.01","29.986788"
"17068","47","8987.68","9.023775"
"15150","13","8977.94","15.668307"
"15903","12","8939.84","77.067586"
"15867","31","8923.30","8.748333"
"12766","9","8918.99","22.186542"
"12747","26","8898.48","35.736867"
"14060","30","8898.24","34.489302"
"13555","13","8891.84","22.397582"
"14709","25","8886.33","24.891681"
"12359","10","8873.39","24.512127"
"14135","24","8839.67","40.363790"
"16700","25","8830.77","17.147126"
"16550","18","8813.58","11.673616"
"15260","25","8767.73","23.012415"
"16532","5","8756.64","1459.440000"
"13448","13","8745.93","16.408874"
"15570","25","8736.49","11.967795"
"16186","26","8718.43","17.264218"
"17576","41","8711.95","9.799719"
"12957","13","8706.97","17.769327"
"13758","15","8698.13","30.519754"
"13263","39","8676.20","4.554436"
"15497","9","8657.39","71.548678"
"13756","23","8655.95","25.236006"
"16945","33","8548.16","18.034093"
"15281","16","8543.57","16.366992"
"13269","28","8537.32","17.566502"
"15270","21","8524.86","50.743214"
"12798","4","8510.93","257.906970"
"13209","13","8509.51","23.250027"
"15786","5","8501.62","18.283054"
