"year","month","total_revenue","total_orders"
"2009","12","822416.00","1681"
"2010","1","651155.11","1105"
"2010","2","551878.29","1202"
"2010","3","830915.26","1681"
"2010","4","678875.25","1462"
"2010","5","657705.50","1500"
"2010","6","749537.31","1645"
"2010","7","648810.27","1529"
"2010","8","695251.91","1425"
"2010","9","921696.99","1839"
"2010","10","1161902.22","2301"
"2010","11","1464293.14","2747"
"2010","12","821452.73","1559"
"2011","1","689811.61","1086"
"2011","2","522545.56","1100"
"2011","3","716215.26","1454"
"2011","4","536968.49","1246"
"2011","5","769296.61","1681"
"2011","6","760547.01","1533"
"2011","7","718076.12","1475"
"2011","8","757841.38","1361"
"2011","9","1056435.19","1837"
"2011","10","1151263.73","2040"
"2011","11","1503866.78","2769"
"2011","12","637808.33","819"
