"country","total_revenue","total_orders","total_customers"
"United Kingdom","17410501.72","36535","5350"
"EIRE","658767.31","626","5"
"Netherlands","554038.09","228","22"
"Germany","425019.71","789","107"
"France","350456.09","622","95"
"Australia","169283.46","95","15"
"Spain","108332.49","154","41"
"Switzerland","100685.59","93","22"
"Sweden","91869.82","105","19"
"Denmark","68580.69","43","12"
"Belgium","65387.82","149","29"
"Norway","56322.50","45","13"
"Portugal","56283.53","95","24"
"Channel Islands","44623.33","55","13"
"Japan","43023.91","33","10"
"Italy","32108.17","65","17"
"Finland","29925.54","57","14"
"Singapore","25317.06","11","1"
"Cyprus","24849.95","37","11"
"Hong Kong","23685.52","15","0"
"Austria","23613.01","45","13"
"Greece","19096.19","18","5"
"Israel","11328.81","10","4"
"United Arab Emirates","11097.63","16","4"
"Unspecified","10927.16","24","6"
"Poland","10654.29","28","6"
"USA","8366.86","20","9"
"Malta","8099.09","9","2"
"Iceland","4921.53","8","1"
"Lithuania","4892.68","6","1"
"Canada","4883.04","8","5"
"RSA","4804.32","4","2"
"Bahrain","3109.79","10","2"
"Thailand","3070.54","2","1"
"Lebanon","1905.58","2","1"
"Brazil","1411.87","2","2"
"European Community","1300.25","4","1"
"Bermuda","1253.14","1","0"
"Korea","1118.51","2","2"
"Czech Republic","826.74","2","1"
"West Indies","536.41","1","1"
"Saudi Arabia","145.92","1","1"
"Nigeria","140.39","2","1"
