"stock_code","description","total_quantity","total_revenue"
"M","Manual","9630","339599.81"
"22423","REGENCY CAKESTAND 3 TIER","26478","330590.32"
"DOT","DOTCOM POSTAGE","1415","309854.11"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER","94142","257546.20"
"23843","PAPER CRAFT , LITTLE BIRDIE","80995","168469.60"
"47566","PARTY BUNTING","28200","148318.28"
"85099B","JUMBO BAG RED RETROSPOT","77280","145961.83"
"84879","ASSORTED COLOUR BIRD ORNAMENT","80082","129324.49"
"POST","POSTAGE","5363","125682.42"
"22086","PAPER CHAIN KIT 50'S CHRISTMAS","35084","117760.29"
"23166","MEDIUM CERAMIC TOP STORAGE JAR","78033","81700.92"
"79321","CHILLI LIGHTS","15841","80540.88"
"84347","ROTATING SILVER ANGELS T-LIGHT HLDR","31409","71300.40"
"85099F","JUMBO BAG STRAWBERRY","36860","67985.77"
"23084","RABBIT NIGHT LIGHT","30739","66870.03"
"21137","BLACK RECORD COVER FRAME","18739","65189.29"
"21931","JUMBO STORAGE BAG SUKI","29182","61537.55"
"21621","VINTAGE UNION JACK BUNTING","6900","60286.04"
"22114","HOT WATER BOTTLE TEA AND SYMPATHY","11677","59189.14"
"85099C","JUMBO  BAG BAROQUE BLACK WHITE","30640","59057.61"
"22910","PAPER CHAIN KIT VINTAGE CHRISTMAS","18634","58652.70"
"22112","CHOCOLATE HOT WATER BOTTLE","11065","57981.94"
"15056N","EDWARDIAN PARASOL NATURAL","11286","57975.45"
"22411","JUMBO SHOPPER VINTAGE RED PAISLEY","27281","57318.71"
"82484","WOOD BLACK BOARD ANT WHITE FINISH","9831","56745.73"
"22470","HEART OF WICKER LARGE","17773","53506.13"
"22178","VICTORIAN GLASS HANGING T-LIGHT","40081","52382.82"
"21733","RED HANGING HEART T-LIGHT HOLDER","17575","50346.49"
"22386","JUMBO BAG PINK POLKADOT","25235","50081.96"
"22111","SCOTTIE DOG HOT WATER BOTTLE","9776","49771.94"
"21929","JUMBO BAG PINK VINTAGE PAISLEY","25608","49651.99"
"22189","CREAM HEART CARD HOLDER","16186","49300.94"
"22469","HEART OF WICKER SMALL","27908","48935.11"
"21843","RED RETROSPOT CAKE STAND","4635","48564.29"
"21731","RED TOADSTOOL LED NIGHT LIGHT","28910","48315.84"
"22457","NATURAL SLATE HEART CHALKBOARD","15373","47288.23"
"15056BL","EDWARDIAN PARASOL BLACK","9504","47267.45"
"21232","STRAWBERRY CERAMIC TRINKET BOX","36628","47169.35"
"21754","HOME BUILDING BLOCK WORD","7595","46516.99"
"21181","PLEASE ONE PERSON METAL SIGN","22865","46249.07"
"22138","BAKING SET 9 PIECE RETROSPOT","9363","45867.16"
"20727","LUNCH BAG  BLACK SKULL.","26678","45655.27"
"21623","VINTAGE UNION JACK MEMOBOARD","6165","45402.18"
"22326","ROUND SNACK BOXES SET OF4 WOODLAND","15380","44063.04"
"84078A","SET/4 WHITE RETRO STORAGE CUBES","1128","43844.96"
"82494L","WOODEN FRAME ANTIQUE WHITE","15301","43811.16"
"84029E","RED WOOLLY HOTTIE WHITE HEART.","10628","42994.24"
"22197","SMALL POPCORN HOLDER","48561","42699.89"
"21915","RED  HARMONICA IN BOX","36289","42664.54"
"21175","GIN + TONIC DIET METAL SIGN","20178","42613.98"
"23298","SPOTTY BUNTING","8320","42513.48"
"20728","LUNCH BAG CARS BLUE","24596","42270.30"
"48138","DOORMAT UNION FLAG","6302","42239.50"
"82482","WOODEN PICTURE FRAME WHITE FINISH","16914","41837.60"
"22355","CHARLOTTE BAG SUKI DESIGN","27550","41580.97"
"71477","COLOUR GLASS. STAR T-LIGHT HOLDER","14077","41099.79"
"20725","LUNCH BAG RED RETROSPOT","22232","41043.02"
"20713","JUMBO BAG OWLS","20814","40667.05"
"22502","PICNIC BASKET WICKER 60 PIECES","61","39619.50"
"85066","CREAM SWEETHEART MINI CHEST","3091","38599.98"
"20726","LUNCH BAG WOODLAND","22118","38506.74"
"48194","DOORMAT HEARTS","6026","38428.12"
"22960","JAM MAKING SET WITH JARS","9019","38380.11"
"21166","COOK WITH WINE METAL SIGN","19932","38138.86"
"23284","DOORMAT KEEP CALM AND COME IN","5487","38133.64"
"22720","SET OF 3 CAKE TINS PANTRY DESIGN","7483","38108.89"
"22629","SPACEBOY LUNCH BOX","20807","37955.50"
"22699","ROSES REGENCY TEACUP AND SAUCER","12860","37682.80"
"20712","JUMBO BAG WOODLAND ANIMALS","17710","37499.37"
"22727","ALARM CLOCK BAKELIKE RED","9234","36543.77"
"22328","ROUND SNACK BOXES SET OF 4 FRUITS","12875","35922.51"
"20685","DOORMAT RED RETROSPOT","5038","35198.96"
"21755","LOVE BUILDING BLOCK WORD","5643","34836.02"
"22379","RECYCLING BAG RETROSPOT","15765","34640.84"
"22197","POPCORN HOLDER","36749","34288.67"
"48185","DOORMAT FAIRY CAKE","5095","34191.53"
"22666","RECIPE BOX PANTRY YELLOW DESIGN","10706","33682.62"
"21523","DOORMAT FANCY FONT HOME SWEET HOME","5075","33466.26"
"22630","DOLLY GIRL LUNCH BOX","18058","33380.83"
"48187","DOORMAT NEW ENGLAND","5291","33203.79"
"22382","LUNCH BAG SPACEBOY DESIGN","19604","33049.37"
"15036","ASSORTED COLOURS SILK FAN","44272","32967.03"
"22726","ALARM CLOCK BAKELIKE GREEN","7671","32609.32"
"22385","JUMBO BAG SPACEBOY DESIGN","17057","32433.50"
"82486","WOOD S/3 CABINET ANT WHITE FINISH","3994","31594.39"
"22139","RETROSPOT TEA SET CERAMIC 11 PC","6168","31527.12"
"22077","6 RIBBONS RUSTIC CHARM","17238","31513.11"
"85152","HAND OVER THE CHOCOLATE   SIGN","16373","31483.70"
"22865","HAND WARMER OWL DESIGN","14537","31416.04"
"23245","SET OF 3 REGENCY CAKE TINS","6345","31118.55"
"21479","WHITE SKULL HOT WATER BOTTLE","6219","31079.80"
"23199","JUMBO BAG APPLES","14908","30450.69"
"22501","PICNIC BASKET WICKER LARGE","2612","30339.36"
"20725","LUNCH BAG RED SPOTTY","18085","30063.27"
"20679","EDWARDIAN PARASOL RED","6149","30020.97"
"22697","GREEN REGENCY TEACUP AND SAUCER","9621","29952.55"
"84946","ANTIQUE SILVER TEA GLASS ETCHED","22032","29828.78"
"22659","LUNCH BOX I LOVE LONDON","15941","29561.86"
"84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6830","29533.87"
"20914","SET/5 RED SPOTTY LID GLASS BOWLS","10706","29468.52"
"22622","BOX OF VINTAGE ALPHABET BLOCKS","2945","29450.11"
"47590B","PINK HAPPY BIRTHDAY BUNTING","5738","29363.86"
"22158","3 HEARTS HANGING DECORATION RUSTIC","8985","29198.28"
"82483","WOOD 2 DRAWER CABINET WHITE FINISH","4878","29003.37"
"21928","JUMBO BAG SCANDINAVIAN PAISLEY","15857","28962.83"
"23355","HOT WATER BOTTLE KEEP CALM","5816","28718.80"
"20971","PINK BLUE FELT CRAFT TRINKET BOX","22260","28580.97"
"84978","HANGING HEART JAR T-LIGHT HOLDER","21689","28475.96"
"22866","HAND WARMER SCOTTY DOG DESIGN","12778","28266.87"
"22752","SET 7 BABUSHKA NESTING BOXES","3459","28139.45"
"22188","BLACK HEART CARD HOLDER","10353","28112.03"
"21977","PACK OF 60 PINK PAISLEY CAKE CASES","56061","28081.73"
"22467","GUMBALL COAT RACK","11868","28059.48"
"82583","HOT BATHS METAL SIGN","12877","27981.99"
"23201","JUMBO BAG ALPHABET","13366","27850.83"
